,Abilities,Attack,Base EXP,Base Happiness,Catch rate,Defense,EV yield,Egg Groups,Egg cycles,Gender,Growth Rate,HP,Height,Japanese,Local №,National №,Sp. Atk,Sp. Def,Species,Speed,Type,Weight,desc,name
133,Water AbsorbHydration (hidden ability),65,196,70 (normal),"45 (5.9% with PokBall, full HP)",60, 2 HP, Field ,"36 (minimum 9,180 steps)","87.5% male, 12.5% female",Medium Fast,130,3′3″ (0.99m),Shawazu,"134 (Red,Blue,Yellow,FireRed,LeafGreen)181 (Gold,Silver,Crystal)164 (Platinum)185 (HeartGold,SoulSilver)092 (Black 2,White 2)078 (X,Y)",134,110,95,Bubble Jet Pokmon,65, Water ,63.9 lbs (29.0 kg), Vaporeon is a Water type Pokmon introduced in Generation 1. It is known as the Bubble Jet Pokmon. ,Vaporeon
134,Volt AbsorbQuick Feet (hidden ability),65,197,70 (normal),"45 (5.9% with PokBall, full HP)",60, 2 Speed, Field ,"36 (minimum 9,180 steps)","87.5% male, 12.5% female",Medium Fast,65,2′7″ (0.79m),Sandasu,"135 (Red,Blue,Yellow,FireRed,LeafGreen)182 (Gold,Silver,Crystal)165 (Platinum)186 (HeartGold,SoulSilver)093 (Black 2,White 2)079 (X,Y)",135,110,95,Lightning Pokmon,130, Electric ,54 lbs (24.5 kg), Jolteon is an Electric type Pokmon introduced in Generation 1. It is known as the Lightning Pokmon. ,Jolteon
135,Flash FireGuts (hidden ability),130,198,70 (normal),"45 (5.9% with PokBall, full HP)",60, 2 Attack, Field ,"36 (minimum 9,180 steps)","87.5% male, 12.5% female",Medium Fast,65,2′11″ (0.89m),Busuta,"136 (Red,Blue,Yellow,FireRed,LeafGreen)183 (Gold,Silver,Crystal)166 (Platinum)187 (HeartGold,SoulSilver)094 (Black 2,White 2)080 (X,Y)",136,95,110,Flame Pokmon,65, Fire ,55.1 lbs (25.0 kg), Flareon is a Fire type Pokmon introduced in Generation 1. It is known as the Flame Pokmon. ,Flareon
136,DownloadTraceAnalytic (hidden ability),60,130,70 (normal),"45 (5.9% with PokBall, full HP)",70, 1 Special Attack, Mineral ,"21 (minimum 5,355 steps)",Genderless,Medium Fast,65,2′7″ (0.79m),Porigon,"137 (Red,Blue,Yellow,FireRed,LeafGreen)215 (Gold,Silver,Crystal)192 (Platinum)220 (HeartGold,SoulSilver)",137,85,75,Virtual Pokmon,40, Normal ,80.5 lbs (36.5 kg), Porygon is a Normal type Pokmon introduced in Generation 1. It is known as the Virtual Pokmon. ,Porygon
137,Shell ArmorSwift SwimWeak Armor (hidden ability),40,99,70 (normal),"45 (5.9% with PokBall, full HP)",100, 1 Defense," Water 1, Water 3 ","31 (minimum 7,905 steps)","87.5% male, 12.5% female",Medium Fast,35,1′4″ (0.41m),Omunaito,"138 (Red,Blue,Yellow,FireRed,LeafGreen)220 (Gold,Silver,Crystal)225 (HeartGold,SoulSilver)",138,90,55,Spiral Pokmon,35, Rock Water ,16.5 lbs (7.5 kg), Omanyte is a Rock/Water type Pokmon introduced in Generation 1. It is known as the Spiral Pokmon. ,Omanyte
138,Shell ArmorSwift SwimWeak Armor (hidden ability),60,199,70 (normal),"45 (5.9% with PokBall, full HP)",125, 2 Defense," Water 1, Water 3 ","31 (minimum 7,905 steps)","87.5% male, 12.5% female",Medium Fast,70,3′3″ (0.99m),Omusuta,"139 (Red,Blue,Yellow,FireRed,LeafGreen)221 (Gold,Silver,Crystal)226 (HeartGold,SoulSilver)",139,115,70,Spiral Pokmon,55, Rock Water ,77.2 lbs (35.0 kg), Omastar is a Rock/Water type Pokmon introduced in Generation 1. It is known as the Spiral Pokmon. ,Omastar
139,Battle ArmorSwift SwimWeak Armor (hidden ability),80,99,70 (normal),"45 (5.9% with PokBall, full HP)",90, 1 Defense," Water 1, Water 3 ","31 (minimum 7,905 steps)","87.5% male, 12.5% female",Medium Fast,30,1′8″ (0.51m),,"140 (Red,Blue,Yellow,FireRed,LeafGreen)222 (Gold,Silver,Crystal)227 (HeartGold,SoulSilver)",140,55,45,Shellfish Pokmon,55, Rock Water ,25.4 lbs (11.5 kg), Kabuto is a Rock/Water type Pokmon introduced in Generation 1. It is known as the Shellfish Pokmon. ,Kabuto
140,Battle ArmorSwift SwimWeak Armor (hidden ability),115,199,70 (normal),"45 (5.9% with PokBall, full HP)",105, 2 Attack," Water 1, Water 3 ","31 (minimum 7,905 steps)","87.5% male, 12.5% female",Medium Fast,60,4′3″ (1.30m),Kabutopusu,"141 (Red,Blue,Yellow,FireRed,LeafGreen)223 (Gold,Silver,Crystal)228 (HeartGold,SoulSilver)",141,65,70,Shellfish Pokmon,80, Rock Water ,89.3 lbs (40.5 kg), Kabutops is a Rock/Water type Pokmon introduced in Generation 1. It is known as the Shellfish Pokmon. ,Kabutops
141,PressureRock HeadUnnerve (hidden ability),105,202,70 (normal),"45 (5.9% with PokBall, full HP)",65, 2 Speed, Flying ,"36 (minimum 9,180 steps)","87.5% male, 12.5% female",Slow,80,5′11″ (1.80m),Putera,"142 (Red,Blue,Yellow,FireRed,LeafGreen)224 (Gold,Silver,Crystal)229 (HeartGold,SoulSilver)068 (X,Y)",142,60,75,Fossil Pokmon,130, Rock Flying ,130.1 lbs (59.0 kg)," Aerodactyl is a Rock/Flying type Pokmon introduced in Generation 1. It is known as the Fossil Pokmon. Aerodactyl has a Mega Evolution, available from X & Y onwards. ",Aerodactyl
142,ImmunityThick FatGluttony (hidden ability),110,154,70 (normal),"25 (3.3% with PokBall, full HP)",65, 2 HP, Monster ,"41 (minimum 10,455 steps)","87.5% male, 12.5% female",Slow,160,6′11″ (2.11m),Kabigon,"143 (Red,Blue,Yellow,FireRed,LeafGreen)225 (Gold,Silver,Crystal)113 (Diamond,Pearl)113 (Platinum)230 (HeartGold,SoulSilver)139 (X,Y)",143,65,110,Sleeping Pokmon,30, Normal ,1014.1 lbs (460.0 kg), Snorlax is a Normal type Pokmon introduced in Generation 1. It is known as the Sleeping Pokmon. ,Snorlax
143,PressureSnow Cloak (hidden ability),85,215,35 (lower than normal),"3 (0.4% with PokBall, full HP)",100, 3 Special Defense, Undiscovered ,"81 (minimum 20,655 steps)",Genderless,Slow,90,5′7″ (1.70m),Furiza,"144 (Red,Blue,Yellow,FireRed,LeafGreen)235 (Gold,Silver,Crystal)240 (HeartGold,SoulSilver)151 (X,Y)",144,95,125,Freeze Pokmon,85, Ice Flying ,122.1 lbs (55.4 kg), Articuno is an Ice/Flying type Pokmon introduced in Generation 1. It is known as the Freeze Pokmon. ,Articuno
144,PressureStatic (hidden ability),90,216,35 (lower than normal),"3 (0.4% with PokBall, full HP)",85, 3 Special Attack, Undiscovered ,"81 (minimum 20,655 steps)",Genderless,Slow,90,5′3″ (1.60m),Sanda,"145 (Red,Blue,Yellow,FireRed,LeafGreen)236 (Gold,Silver,Crystal)241 (HeartGold,SoulSilver)152 (X,Y)",145,125,90,Electric Pokmon,100, Electric Flying ,116 lbs (52.6 kg), Zapdos is an Electric/Flying type Pokmon introduced in Generation 1. It is known as the Electric Pokmon. ,Zapdos
145,PressureFlame Body (hidden ability),100,217,35 (lower than normal),"3 (0.4% with PokBall, full HP)",90, 3 Special Attack, Undiscovered ,"81 (minimum 20,655 steps)",Genderless,Slow,90,6′7″ (2.01m),Faiya,"146 (Red,Blue,Yellow,FireRed,LeafGreen)237 (Gold,Silver,Crystal)242 (HeartGold,SoulSilver)153 (X,Y)",146,125,85,Flame Pokmon,90, Fire Flying ,132.3 lbs (60.0 kg), Moltres is a Fire/Flying type Pokmon introduced in Generation 1. It is known as the Flame Pokmon. ,Moltres
146,Shed SkinMarvel Scale (hidden ability),64,67,35 (lower than normal),"45 (5.9% with PokBall, full HP)",45, 1 Attack," Dragon, Water 1 ","41 (minimum 10,455 steps)","50% male, 50% female",Slow,41,5′11″ (1.80m),Miniryu,"147 (Red,Blue,Yellow,FireRed,LeafGreen)241 (Gold,Silver,Crystal)246 (HeartGold,SoulSilver)145 (X,Y)",147,50,50,Dragon Pokmon,50, Dragon ,7.3 lbs (3.3 kg), Dratini is a Dragon type Pokmon introduced in Generation 1. It is known as the Dragon Pokmon. ,Dratini
147,Shed SkinMarvel Scale (hidden ability),84,144,35 (lower than normal),"45 (5.9% with PokBall, full HP)",65, 2 Attack," Dragon, Water 1 ","41 (minimum 10,455 steps)","50% male, 50% female",Slow,61,13′1″ (3.99m),Hakuryu,"148 (Red,Blue,Yellow,FireRed,LeafGreen)242 (Gold,Silver,Crystal)247 (HeartGold,SoulSilver)146 (X,Y)",148,70,70,Dragon Pokmon,70, Dragon ,36.4 lbs (16.5 kg), Dragonair is a Dragon type Pokmon introduced in Generation 1. It is known as the Dragon Pokmon. ,Dragonair
148,Inner FocusMultiscale (hidden ability),134,218,35 (lower than normal),"45 (5.9% with PokBall, full HP)",95, 3 Attack," Dragon, Water 1 ","41 (minimum 10,455 steps)","50% male, 50% female",Slow,91,7′3″ (2.21m),Kairyu,"149 (Red,Blue,Yellow,FireRed,LeafGreen)243 (Gold,Silver,Crystal)248 (HeartGold,SoulSilver)147 (X,Y)",149,100,100,Dragon Pokmon,80, Dragon Flying ,463 lbs (210.0 kg), Dragonite is a Dragon/Flying type Pokmon introduced in Generation 1. It is known as the Dragon Pokmon. ,Dragonite
149,PressureUnnerve (hidden ability),110,220,0 (lower than normal),"3 (0.4% with PokBall, full HP)",90, 3 Special Attack, Undiscovered ,"121 (minimum 30,855 steps)",Genderless,Slow,106,6′7″ (2.01m),Myutsu,"150 (Red,Blue,Yellow,FireRed,LeafGreen)249 (Gold,Silver,Crystal)254 (HeartGold,SoulSilver)151 (X,Y)",150,154,90,Genetic Pokmon,130, Psychic ,269 lbs (122.0 kg)," Mewtwo is a Psychic type Pokmon introduced in Generation 1. It is known as the Genetic Pokmon. Mewtwo has two Mega Evolutions, available from X & Y onwards. They can be activated in battle when holding the Mega Stones, Mewtwonite X and Mewtwonite Y respectively. ",Mewtwo
150,Synchronize,100,64,100 (higher than normal),"45 (5.9% with PokBall, full HP)",100, 3 HP, Undiscovered ,"121 (minimum 30,855 steps)",Genderless,Medium Slow,100,1′4″ (0.41m),Myu,"151 (Red,Blue,Yellow,FireRed,LeafGreen)250 (Gold,Silver,Crystal)255 (HeartGold,SoulSilver)",151,100,100,New Species Pokmon,100, Psychic ,8.8 lbs (4.0 kg), Mew is a Psychic type Pokmon introduced in Generation 1. It is known as the New Species Pokmon. ,Mew
151,OvergrowLeaf Guard (hidden ability),49,64,70 (normal),"45 (5.9% with PokBall, full HP)",65, 1 Special Defense," Grass, Monster ","21 (minimum 5,355 steps)","87.5% male, 12.5% female",Medium Slow,45,2′11″ (0.89m),,"001 (Gold,Silver,Crystal)001 (HeartGold,SoulSilver)",152,49,65,Leaf Pokmon,45, Grass ,14.1 lbs (6.4 kg), Chikorita is a Grass type Pokmon introduced in Generation 2. It is known as the Leaf Pokmon. ,Chikorita
152,OvergrowLeaf Guard (hidden ability),62,141,70 (normal),"45 (5.9% with PokBall, full HP)",80," 1 Defense, 1 Special Defense"," Grass, Monster ","21 (minimum 5,355 steps)","87.5% male, 12.5% female",Medium Slow,60,3′11″ (1.19m),Beirifu,"002 (Gold,Silver,Crystal)002 (HeartGold,SoulSilver)",153,63,80,Leaf Pokmon,60, Grass ,34.8 lbs (15.8 kg), Bayleef is a Grass type Pokmon introduced in Generation 2. It is known as the Leaf Pokmon. ,Bayleef
153,OvergrowLeaf Guard (hidden ability),82,208,70 (normal),"45 (5.9% with PokBall, full HP)",100," 1 Defense, 2 Special Defense"," Grass, Monster ","21 (minimum 5,355 steps)","87.5% male, 12.5% female",Medium Slow,80,5′11″ (1.80m),Meganiumu,"003 (Gold,Silver,Crystal)003 (HeartGold,SoulSilver)",154,83,100,Herb Pokmon,80, Grass ,221.6 lbs (100.5 kg), Meganium is a Grass type Pokmon introduced in Generation 2. It is known as the Herb Pokmon. ,Meganium
154,BlazeFlash Fire (hidden ability),52,65,70 (normal),"45 (5.9% with PokBall, full HP)",43, 1 Speed, Field ,"21 (minimum 5,355 steps)","87.5% male, 12.5% female",Medium Slow,39,1′8″ (0.51m),Hinoarashi,"004 (Gold,Silver,Crystal)004 (HeartGold,SoulSilver)",155,60,50,Fire Mouse Pokmon,65, Fire ,17.4 lbs (7.9 kg), Cyndaquil is a Fire type Pokmon introduced in Generation 2. It is known as the Fire Mouse Pokmon. ,Cyndaquil
155,BlazeFlash Fire (hidden ability),64,142,70 (normal),"45 (5.9% with PokBall, full HP)",58," 1 Special Attack, 1 Speed", Field ,"21 (minimum 5,355 steps)","87.5% male, 12.5% female",Medium Slow,58,2′11″ (0.89m),Magumarashi,"005 (Gold,Silver,Crystal)005 (HeartGold,SoulSilver)",156,80,65,Volcano Pokmon,80, Fire ,41.9 lbs (19.0 kg), Quilava is a Fire type Pokmon introduced in Generation 2. It is known as the Volcano Pokmon. ,Quilava
156,BlazeFlash Fire (hidden ability),84,209,70 (normal),"45 (5.9% with PokBall, full HP)",78, 3 Special Attack, Field ,"21 (minimum 5,355 steps)","87.5% male, 12.5% female",Medium Slow,78,5′7″ (1.70m),Bakufun,"006 (Gold,Silver,Crystal)006 (HeartGold,SoulSilver)",157,109,85,Volcano Pokmon,100, Fire ,175.3 lbs (79.5 kg), Typhlosion is a Fire type Pokmon introduced in Generation 2. It is known as the Volcano Pokmon. ,Typhlosion
157,TorrentSheer Force (hidden ability),65,66,70 (normal),"45 (5.9% with PokBall, full HP)",64, 1 Attack," Monster, Water 1 ","21 (minimum 5,355 steps)","87.5% male, 12.5% female",Medium Slow,50,2′0″ (0.61m),Waninoko,"007 (Gold,Silver,Crystal)007 (HeartGold,SoulSilver)",158,44,48,Big Jaw Pokmon,43, Water ,20.9 lbs (9.5 kg), Totodile is a Water type Pokmon introduced in Generation 2. It is known as the Big Jaw Pokmon. ,Totodile
158,TorrentSheer Force (hidden ability),80,143,70 (normal),"45 (5.9% with PokBall, full HP)",80," 1 Attack, 1 Defense"," Monster, Water 1 ","21 (minimum 5,355 steps)","87.5% male, 12.5% female",Medium Slow,65,3′7″ (1.09m),Arigeitsu,"008 (Gold,Silver,Crystal)008 (HeartGold,SoulSilver)",159,59,63,Big Jaw Pokmon,58, Water ,55.1 lbs (25.0 kg), Croconaw is a Water type Pokmon introduced in Generation 2. It is known as the Big Jaw Pokmon. ,Croconaw
159,TorrentSheer Force (hidden ability),105,210,70 (normal),"45 (5.9% with PokBall, full HP)",100," 2 Attack, 1 Defense"," Monster, Water 1 ","21 (minimum 5,355 steps)","87.5% male, 12.5% female",Medium Slow,85,7′7″ (2.31m),Odairu,"009 (Gold,Silver,Crystal)009 (HeartGold,SoulSilver)",160,79,83,Big Jaw Pokmon,78, Water ,195.8 lbs (88.8 kg), Feraligatr is a Water type Pokmon introduced in Generation 2. It is known as the Big Jaw Pokmon. ,Feraligatr
160,Keen EyeRun AwayFrisk (hidden ability),46,57,70 (normal),"255 (33.3% with PokBall, full HP)",34, 1 Attack, Field ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Fast,35,2′7″ (0.79m),Otachi,"019 (Gold,Silver,Crystal)019 (HeartGold,SoulSilver)109 (X,Y)",161,35,45,Scout Pokmon,20, Normal ,13.2 lbs (6.0 kg), Sentret is a Normal type Pokmon introduced in Generation 2. It is known as the Scout Pokmon. ,Sentret
161,Keen EyeRun AwayFrisk (hidden ability),76,116,70 (normal),"90 (11.8% with PokBall, full HP)",64, 2 Speed, Field ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Fast,85,5′11″ (1.80m),Ootachi,"020 (Gold,Silver,Crystal)020 (HeartGold,SoulSilver)110 (X,Y)",162,45,55,Long Body Pokmon,90, Normal ,71.7 lbs (32.5 kg), Furret is a Normal type Pokmon introduced in Generation 2. It is known as the Long Body Pokmon. ,Furret
162,InsomniaKeen EyeTinted Lens (hidden ability),30,58,70 (normal),"255 (33.3% with PokBall, full HP)",30, 1 HP, Flying ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Fast,60,2′4″ (0.71m),Hoho,"015 (Gold,Silver,Crystal)106 (Diamond,Pearl)106 (Platinum)015 (HeartGold,SoulSilver)117 (X,Y)",163,36,56,Owl Pokmon,50, Normal Flying ,46.7 lbs (21.2 kg), Hoothoot is a Normal/Flying type Pokmon introduced in Generation 2. It is known as the Owl Pokmon. ,Hoothoot
163,InsomniaKeen EyeTinted Lens (hidden ability),50,162,70 (normal),"90 (11.8% with PokBall, full HP)",50, 2 HP, Flying ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Fast,100,5′3″ (1.60m),Yorunozuku,"016 (Gold,Silver,Crystal)107 (Diamond,Pearl)107 (Platinum)016 (HeartGold,SoulSilver)118 (X,Y)",164,76,96,Owl Pokmon,70, Normal Flying ,89.9 lbs (40.8 kg), Noctowl is a Normal/Flying type Pokmon introduced in Generation 2. It is known as the Owl Pokmon. ,Noctowl
164,Early BirdSwarmRattled (hidden ability),20,54,70 (normal),"255 (33.3% with PokBall, full HP)",30, 1 Special Defense, Bug ,"16 (minimum 4,080 steps)","50% male, 50% female",Fast,40,3′3″ (0.99m),Rediba,"030 (Gold,Silver,Crystal)030 (HeartGold,SoulSilver)074 (X,Y)020 (Sun,Moon)",165,40,80,Five Star Pokmon,55, Bug Flying ,23.8 lbs (10.8 kg), Ledyba is a Bug/Flying type Pokmon introduced in Generation 2. It is known as the Five Star Pokmon. ,Ledyba
165,Early BirdSwarmIron Fist (hidden ability),35,134,70 (normal),"90 (11.8% with PokBall, full HP)",50, 2 Special Defense, Bug ,"16 (minimum 4,080 steps)","50% male, 50% female",Fast,55,4′7″ (1.40m),Redian,"031 (Gold,Silver,Crystal)031 (HeartGold,SoulSilver)075 (X,Y)021 (Sun,Moon)",166,55,110,Five Star Pokmon,85, Bug Flying ,78.5 lbs (35.6 kg), Ledian is a Bug/Flying type Pokmon introduced in Generation 2. It is known as the Five Star Pokmon. ,Ledian
166,InsomniaSwarmSniper (hidden ability),60,54,70 (normal),"255 (33.3% with PokBall, full HP)",40, 1 Attack, Bug ,"16 (minimum 4,080 steps)","50% male, 50% female",Fast,40,1′8″ (0.51m),Itomaru,"032 (Gold,Silver,Crystal)032 (HeartGold,SoulSilver)107 (X,Y)",167,40,40,String Spit Pokmon,30, Bug Poison ,18.7 lbs (8.5 kg), Spinarak is a Bug/Poison type Pokmon introduced in Generation 2. It is known as the String Spit Pokmon. ,Spinarak
167,InsomniaSwarmSniper (hidden ability),90,134,70 (normal),"90 (11.8% with PokBall, full HP)",70, 2 Attack, Bug ,"16 (minimum 4,080 steps)","50% male, 50% female",Fast,70,3′7″ (1.09m),Ariadosu,"033 (Gold,Silver,Crystal)033 (HeartGold,SoulSilver)108 (X,Y)",168,60,60,Long Leg Pokmon,40, Bug Poison ,73.9 lbs (33.5 kg), Ariados is a Bug/Poison type Pokmon introduced in Generation 2. It is known as the Long Leg Pokmon. ,Ariados
168,Inner FocusInfiltrator (hidden ability),90,204,70 (normal),"90 (11.8% with PokBall, full HP)",80, 3 Speed, Flying ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Fast,85,5′11″ (1.80m),Kurobatto,"039 (Gold,Silver,Crystal)065 (Ruby,Sapphire,Emerald)030 (Diamond,Pearl)030 (Platinum)039 (HeartGold,SoulSilver)063 (Black 2,White 2)147 (X,Y)067 (Omega Ruby,Alpha Sapphire)",169,70,80,Bat Pokmon,130, Poison Flying ,165.3 lbs (75.0 kg), Crobat is a Poison/Flying type Pokmon introduced in Generation 2. It is known as the Bat Pokmon. ,Crobat
169,IlluminateVolt AbsorbWater Absorb (hidden ability),38,90,70 (normal),"190 (24.8% with PokBall, full HP)",38, 1 HP, Water 2 ,"21 (minimum 5,355 steps)","50% male, 50% female",Slow,75,1′8″ (0.51m),Chonchi,"174 (Gold,Silver,Crystal)181 (Ruby,Sapphire,Emerald)176 (HeartGold,SoulSilver)147 (X,Y)190 (Omega Ruby,Alpha Sapphire)",170,56,56,Angler Pokmon,67, Water Electric ,26.5 lbs (12.0 kg), Chinchou is a Water/Electric type Pokmon introduced in Generation 2. It is known as the Angler Pokmon. ,Chinchou
170,IlluminateVolt AbsorbWater Absorb (hidden ability),58,156,70 (normal),"75 (9.8% with PokBall, full HP)",58, 2 HP, Water 2 ,"21 (minimum 5,355 steps)","50% male, 50% female",Slow,125,3′11″ (1.19m),Rantan,"175 (Gold,Silver,Crystal)182 (Ruby,Sapphire,Emerald)177 (HeartGold,SoulSilver)148 (X,Y)191 (Omega Ruby,Alpha Sapphire)",171,76,76,Light Pokmon,67, Water Electric ,49.6 lbs (22.5 kg), Lanturn is a Water/Electric type Pokmon introduced in Generation 2. It is known as the Light Pokmon. ,Lanturn
171,StaticLightning Rod (hidden ability),40,42,70 (normal),"190 (24.8% with PokBall, full HP)",15, 1 Speed, Undiscovered ,"11 (minimum 2,805 steps)","50% male, 50% female",Medium Fast,20,1′0″ (0.30m),,"021 (Gold,Silver,Crystal)155 (Ruby,Sapphire,Emerald)103 (Diamond,Pearl)103 (Platinum)021 (HeartGold,SoulSilver)035 (X,Y)162 (Omega Ruby,Alpha Sapphire)024 (Sun,Moon)",172,35,35,Tiny Mouse Pokmon,60, Electric ,4.4 lbs (2.0 kg), Pichu is an Electric type Pokmon introduced in Generation 2. It is known as the Tiny Mouse Pokmon. ,Pichu
172,Cute CharmMagic GuardFriend Guard (hidden ability),25,37,140 (higher than normal),"150 (19.6% with PokBall, full HP)",28, 1 Special Defense, Undiscovered ,"11 (minimum 2,805 steps)","25% male, 75% female",Fast,50,1′0″ (0.30m),Pyi,"040 (Gold,Silver,Crystal)099 (Diamond,Pearl)099 (Platinum)040 (HeartGold,SoulSilver)088 (Black 2,White 2)",173,45,55,Star Shape Pokmon,15, Fairy ,6.6 lbs (3.0 kg)," Cleffa is a Fairy type Pokmon introduced in Generation 2. It is known as the Star Shape Pokmon. Prior to Generation 6, Cleffa was Normal type. ",Cleffa
173,CompetitiveCute CharmFriend Guard (hidden ability),30,39,70 (normal),"170 (22.2% with PokBall, full HP)",15, 1 HP, Undiscovered ,"11 (minimum 2,805 steps)","25% male, 75% female",Fast,90,1′0″ (0.30m),Pupurin,"043 (Gold,Silver,Crystal)137 (Ruby,Sapphire,Emerald)043 (HeartGold,SoulSilver)281 (Black 2,White 2)119 (X,Y)142 (Omega Ruby,Alpha Sapphire)",174,40,20,Balloon Pokmon,15, Normal Fairy ,2.2 lbs (1.0 kg)," Igglybuff is a Normal/Fairy type Pokmon introduced in Generation 2. It is known as the Balloon Pokmon. Prior to Generation 6, Igglybuff was a pure Normal type. ",Igglybuff
174,HustleSerene GraceSuper Luck (hidden ability),20,74,70 (normal),"190 (24.8% with PokBall, full HP)",65, 1 Special Defense, Undiscovered ,"11 (minimum 2,805 steps)","87.5% male, 12.5% female",Fast,35,1′0″ (0.30m),,"046 (Gold,Silver,Crystal)173 (Platinum)046 (HeartGold,SoulSilver)",175,40,65,Spike Ball Pokmon,20, Fairy ,3.3 lbs (1.5 kg)," Togepi is a Fairy type Pokmon introduced in Generation 2. It is known as the Spike Ball Pokmon. Prior to Generation 6, Togepi was Normal type. ",Togepi
175,HustleSerene GraceSuper Luck (hidden ability),40,114,70 (normal),"75 (9.8% with PokBall, full HP)",85, 2 Special Defense," Fairy, Flying ","11 (minimum 2,805 steps)","87.5% male, 12.5% female",Fast,55,2′0″ (0.61m),Togechikku,"047 (Gold,Silver,Crystal)174 (Platinum)047 (HeartGold,SoulSilver)",176,80,105,Happiness Pokmon,40, Fairy Flying ,7.1 lbs (3.2 kg)," Togetic is a Fairy/Flying type Pokmon introduced in Generation 2. It is known as the Happiness Pokmon. Prior to Generation 6, Togetic was Normal/Flying type. ",Togetic
176,Early BirdSynchronizeMagic Bounce (hidden ability),50,73,70 (normal),"190 (24.8% with PokBall, full HP)",45, 1 Special Attack, Flying ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,40,0′8″ (0.20m),Neiti,"159 (Gold,Silver,Crystal)162 (Ruby,Sapphire,Emerald)161 (HeartGold,SoulSilver)169 (Omega Ruby,Alpha Sapphire)",177,70,45,Tiny Bird Pokmon,70, Psychic Flying ,4.4 lbs (2.0 kg), Natu is a Psychic/Flying type Pokmon introduced in Generation 2. It is known as the Tiny Bird Pokmon. ,Natu
177,Early BirdSynchronizeMagic Bounce (hidden ability),75,171,70 (normal),"75 (9.8% with PokBall, full HP)",70," 1 Special Attack, 1 Speed", Flying ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,65,4′11″ (1.50m),Neitio,"160 (Gold,Silver,Crystal)163 (Ruby,Sapphire,Emerald)162 (HeartGold,SoulSilver)170 (Omega Ruby,Alpha Sapphire)",178,95,70,Mystic Pokmon,95, Psychic Flying ,33.1 lbs (15.0 kg), Xatu is a Psychic/Flying type Pokmon introduced in Generation 2. It is known as the Mystic Pokmon. ,Xatu
178,StaticPlus (hidden ability),40,59,70 (normal),"235 (30.7% with PokBall, full HP)",40, 1 Special Attack," Field, Monster ","21 (minimum 5,355 steps)","50% male, 50% female",Medium Slow,55,2′0″ (0.61m),Meripu,"053 (Gold,Silver,Crystal)053 (HeartGold,SoulSilver)025 (Black 2,White 2)127 (X,Y)",179,65,45,Wool Pokmon,35, Electric ,17.2 lbs (7.8 kg), Mareep is an Electric type Pokmon introduced in Generation 2. It is known as the Wool Pokmon. ,Mareep
179,StaticPlus (hidden ability),55,117,70 (normal),"120 (15.7% with PokBall, full HP)",55, 2 Special Attack," Field, Monster ","21 (minimum 5,355 steps)","50% male, 50% female",Medium Slow,70,2′7″ (0.79m),Mokoko,"054 (Gold,Silver,Crystal)054 (HeartGold,SoulSilver)026 (Black 2,White 2)128 (X,Y)",180,80,60,Wool Pokmon,45, Electric ,29.3 lbs (13.3 kg), Flaaffy is an Electric type Pokmon introduced in Generation 2. It is known as the Wool Pokmon. ,Flaaffy
180,StaticPlus (hidden ability),75,194,70 (normal),"45 (5.9% with PokBall, full HP)",85, 3 Special Attack," Field, Monster ","21 (minimum 5,355 steps)","50% male, 50% female",Medium Slow,90,4′7″ (1.40m),Denryu,"055 (Gold,Silver,Crystal)055 (HeartGold,SoulSilver)027 (Black 2,White 2)129 (X,Y)",181,115,90,Light Pokmon,55, Electric ,135.6 lbs (61.5 kg), Ampharos is an Electric type Pokmon introduced in Generation 2. It is known as the Light Pokmon. ,Ampharos
181,ChlorophyllHealer (hidden ability),80,184,70 (normal),"45 (5.9% with PokBall, full HP)",95, 3 Special Defense, Grass ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Slow,75,1′4″ (0.41m),Kireihana,"086 (Gold,Silver,Crystal)091 (Ruby,Sapphire,Emerald)086 (HeartGold,SoulSilver)108 (X,Y)094 (Omega Ruby,Alpha Sapphire)",182,90,100,Flower Pokmon,50, Grass ,12.8 lbs (5.8 kg), Bellossom is a Grass type Pokmon introduced in Generation 2. It is known as the Flower Pokmon. ,Bellossom
182,Huge PowerThick FatSap Sipper (hidden ability),20,58,70 (normal),"190 (24.8% with PokBall, full HP)",50, 2 HP," Fairy, Water 1 ","11 (minimum 2,805 steps)","50% male, 50% female",Fast,70,1′4″ (0.41m),Mariru,"130 (Gold,Silver,Crystal)055 (Ruby,Sapphire,Emerald)125 (Diamond,Pearl)125 (Platinum)132 (HeartGold,SoulSilver)031 (Black 2,White 2)042 (X,Y)056 (Omega Ruby,Alpha Sapphire)",183,20,50,Aqua Mouse Pokmon,40, Water Fairy ,18.7 lbs (8.5 kg)," Marill is a Water/Fairy type Pokmon introduced in Generation 2. It is known as the Aqua Mouse Pokmon. Prior to Generation 6, Marill was a pure Water type. ",Marill
